종목코드,종목명,종가,대비,등락률,상장시가총액
"037560","LG헬로비전","2190","-60","-2.67","169608634350"
"037710","광주신세계","38200","250","0.66","291357970400"
"039570","HDC랩스","7900","-90","-1.13","205065047900"
"041650","상신브레이크","2620","-25","-0.95","56255199000"
"044380","주연테크","1879","-271","-12.60","24232177764"
"044450","KSS해운","10860","-380","-3.38","250712656800"
"044820","코스맥스비티아이","20650","100","0.49","198320968650"
"047400","유니온머티리얼","1610","-3","-0.19","67620000000"
"049800","우진플라임","2260","-120","-5.04","45200000000"
"051630","진양화학","1980","-65","-3.18","41976000000"
"053210","스카이라이프","4480","-60","-1.32","212902838400"
"009310","참엔지니어링","5330","0","0.00","23329484620"
"009320","아진전자부품","1021","-24","-2.30","50335065170"
"009440","KC그린홀딩스","756","0","0.00","17568790596"
"009460","한창제지","2320","-400","-14.71","27685713040"
"009470","삼화전기","34050","-1650","-4.62","225200571000"
"009580","무림P&P","2385","-70","-2.85","148748452740"
"009680","모토닉","10610","20","0.19","230588127340"
"009770","삼정펄프","28800","-650","-2.21","71999164800"
"009810","플레이그램","1178","0","0.00","35784695000"
"010040","한국내화","1818","6","0.33","74659918716"
"010100","한국무브넥스","4765","-335","-6.57","145096251300"
"010400","우진아이엔에스","3665","25","0.69","27934630000"
"010580","에스엠벡셀","2050","-5","-0.24","228066108000"
"010640","진양폴리","2170","-25","-1.14","36239000000"
"010660","화천기계","4265","-65","-1.50","93830000000"
"010770","평화홀딩스","4285","120","2.88","62670121810"
"010960","삼호개발","3500","-115","-3.18","84420000000"
"011000","진원생명과학","1051","91","9.48","95517935257"
"011090","에넥스","428","0","0.00","25676422348"
"011150","CJ씨푸드","2450","-50","-2.00","88030393850"
"011230","삼화전자","2150","-60","-2.71","41206437750"
"011280","태림포장","1900","-10","-0.52","134531286000"
"011300","우성머티리얼스","2560","-100","-3.76","40592335360"
"011330","유니켐","564","-3","-0.53","50865940068"
"011390","부산산업","59100","-2900","-4.68","62409600000"
"011420","갤럭시아에스엠","1715","-13","-0.75","47247639460"
"011690","와이투솔루션","6200","-270","-4.17","227567242800"
"011700","한신기계","3880","-5","-0.13","125891065880"
"011810","STX","3530","0","0.00","109493282310"
"012160","영흥","432","11","2.61","43766080704"
"012170","아센디오","1142","87","8.25","22147144032"
"012200","계양전기","8770","-240","-2.66","238744210330"
"012280","영화금속","992","7","0.71","51251188960"
"012320","경동인베스트","57900","-800","-1.36","136934831700"
"012610","경인양행","5540","-120","-2.12","230554662100"
"012690","모나리자","2075","-45","-2.12","75885354125"
"012800","대창","1523","-57","-3.61","138806979977"
"013000","세우글로벌","1516","3","0.20","43516826996"
"013360","일성건설","1585","-36","-2.22","85629434800"
"013520","화승코퍼레이션","3175","-35","-1.09","158912725100"
"013570","디와이","4565","-185","-3.89","120149124645"
"013580","계룡건설","24150","-550","-2.23","215681404050"
"013700","까뮤이앤씨","1308","-92","-6.57","78154085640"
"013870","지엠비코리아","4415","-5","-0.11","84204116200"
"013890","지누스","11700","240","2.09","256532012100"
"014130","한익스프레스","2605","-5","-0.19","31260000000"
"014160","대영포장","1038","11","1.07","112513541862"
"014280","금강공업","5070","-150","-2.87","148699839990"
"014440","영보화학","4695","-25","-0.53","93900000000"
"014530","극동유화","3565","0","0.00","124309482300"
"014580","태경비케이","4510","15","0.33","124399781000"
"014710","사조씨푸드","7510","200","2.74","129311257930"
"014790","HL D&I","2910","-35","-1.19","110168528910"
"014910","성문전자","2285","-500","-17.95","49943832245"
"014990","인디에프","592","-16","-2.63","44466893040"
"015020","이스타코","464","0","0.00","19883142400"
"015230","대창단조","6640","-70","-1.04","180233636800"
"015260","에이엔피","625","1","0.16","29448058750"
"015590","DKME","2900","-85","-2.85","137449293200"
"015890","태경산업","5060","190","3.90","147897475000"
"016090","대현","1714","-42","-2.39","75899879340"
"016450","한세예스24홀딩스","4355","-25","-0.57","174200000000"
"016580","환인제약","11210","-260","-2.27","208506784700"
"016710","대성홀딩스","8120","-70","-0.85","130646407080"
"004830","덕성","4045","-65","-1.58","63425600000"
"004840","DRB동일","4930","-80","-1.60","95012754520"
"004870","티웨이홀딩스","237","-2","-0.84","26819748078"
"004890","동일산업","36450","-700","-1.88","88399086750"
"004910","조광페인트","4090","-45","-1.09","52352000000"
"004920","씨아이테크","1056","-14","-1.31","55101944832"
"004960","한신공영","13570","-740","-5.17","157014426140"
"004970","신라교역","9240","-60","-0.65","147840000000"
"004980","성신양회","9700","-160","-1.62","237805908100"
"005030","부산주공","486","0","0.00","45092532168"
"005110","한창","1254","0","0.00","26467434378"
"005320","온타이드","588","0","0.00","40204905720"
"005360","모나미","1522","-18","-1.17","28761701254"
"005430","한국공항","70400","1600","2.33","222911392000"
"005500","삼진제약","19940","430","2.20","265600800000"
"005680","삼영전자","13200","-500","-3.65","264000000000"
"005740","크라운해태홀딩스","6750","-400","-5.59","100219592250"
"005750","대림바스","5220","90","1.75","86611492800"
"005800","신영와코루","14690","-150","-1.01","132210000000"
"005820","원림","15340","-170","-1.10","35250859800"
"005870","휴니드","7340","-50","-0.68","103611550100"
"005950","이수화학","10790","780","7.79","283714083510"
"005960","동부건설","7510","-450","-5.65","172329439130"
"006060","화승인더","3165","-255","-7.46","175087800000"
"006090","사조오양","8260","-30","-0.36","77831824140"
"006200","한국전자홀딩스","801","0","0.00","37489311936"
"006370","대구백화점","5120","0","0.00","55406648320"
"006490","인스코비","382","4","1.06","55728496694"
"006570","대림통상","1924","-5","-0.26","29292900000"
"006660","삼성공조","12100","-260","-2.10","98328399400"
"006740","블루산업개발","589","0","0.00","33558621332"
"006840","AK홀딩스","7990","230","2.96","105848012390"
"006880","신송홀딩스","6250","-130","-2.04","73930362500"
"006890","태경케미컬","7870","10","0.13","91292000000"
"006980","우성","21400","-150","-0.70","66126000000"
"007110","일신석재","1363","-31","-2.22","105573359430"
"007120","미래아이앤지","1500","-49","-3.16","43317912000"
"007160","사조산업","48900","-2200","-4.31","244500000000"
"007210","벽산","1806","-44","-2.38","118040160000"
"007280","한국특강","2560","25","0.99","77841036800"
"007460","에이프로젠","4375","-335","-7.11","96047297500"
"007540","샘표","48100","-650","-1.33","138325980000"
"007570","일양약품","9770","-110","-1.11","186466937280"
"007590","동방아그로","6010","40","0.67","81841637770"
"007610","선도전기","9400","-590","-5.91","169200000000"
"007860","서연","9010","140","1.58","211553394440"
"007980","TP","1985","-50","-2.46","93091239750"
"008040","사조동아원","1021","-28","-2.67","144108636600"
"008250","이건산업","3500","-5","-0.14","38334222500"
"008260","NI스틸","3625","-55","-1.49","103675424125"
"008350","남선알미늄","1750","-62","-3.42","225888407500"
"008420","문배철강","2430","-5","-0.21","49823517150"
"008490","서흥","22750","800","3.64","263197320750"
"008500","일정실업","2180","-170","-7.23","13080000000"
"008600","윌비스","2620","0","0.00","17615839860"
"008700","아남전자","1290","-22","-1.68","99491017800"
"008870","금비","44200","200","0.45","44200000000"
"008970","KBI동양철관","1577","-6","-0.38","163640412339"
"009070","KCTC","5410","150","2.85","162300000000"
"009140","경인전자","27000","-300","-1.10","42411519000"
"009180","한솔로지스틱스","3045","-75","-2.40","85734487125"
"009190","대양금속","1375","11","0.81","59389859375"
"009200","무림페이퍼","1802","-61","-3.27","74979976620"
"009270","신원","1180","-22","-1.83","135429063740"
"002140","고려산업","2470","5","0.20","61600379750"
"002150","도화엔지니어링","6090","-110","-1.77","205354800000"
"002170","SYTS","58200","-1300","-2.18","174600000000"
"002200","한국수출포장","2620","-90","-3.32","99560000000"
"002210","동성제약","973","0","0.00","94010780311"
"002220","한일철강","4610","-120","-2.54","123075290600"
"002320","한진","18050","-120","-0.66","280111018800"
"002360","SH에너지화학","358","0","0.00","39785875340"
"002390","한독","9240","-430","-4.45","127175044920"
"002410","범양건영","1935","0","0.00","53173451700"
"002420","세기상사","5620","450","8.70","33551107760"
"002450","삼익악기","1345","27","2.05","121764080675"
"002460","HS화성","13150","-390","-2.88","133472500000"
"002600","조흥","144300","-1100","-0.76","86580000000"
"002620","제일파마홀딩스","8790","30","0.34","140405790450"
"002630","오리엔트바이오","483","5","1.05","57275591415"
"002690","동일제강","1596","23","1.46","32399374560"
"002700","신일전자","1401","-3","-0.21","98136576921"
"002720","국제약품","4110","-60","-1.44","86966909520"
"002760","보락","1017","-21","-2.02","60918300000"
"002780","진흥기업","1117","-16","-1.41","162491939165"
"002820","SUN&L","2300","0","0.00","28998374700"
"002870","신풍","1144","-106","-8.48","39992752800"
"002880","디와이에이","860","-28","-3.15","40225635700"
"002920","유성기업","1810","-18","-0.98","46964975000"
"002990","금호건설","4355","-230","-5.02","162267186770"
"003010","혜인","6090","-140","-2.25","77420629230"
"003060","에이프로젠바이오로직스","3635","-375","-9.35","48080832015"
"003070","코오롱글로벌","10070","-430","-4.10","256019267130"
"003080","SB성보","2410","20","0.84","48248200000"
"003120","일성아이에스","20100","-550","-2.66","267330000000"
"003200","일신방직","11500","-400","-3.36","264040000000"
"003220","대원제약","9600","-240","-2.44","215304796800"
"003350","한국화장품제조","9560","-730","-7.09","216629600000"
"003460","유화증권","3255","-10","-0.31","184566360825"
"003480","한진중공업홀딩스","5730","-270","-4.50","169205822760"
"003520","영진약품","1531","-23","-1.48","280008771161"
"003580","HLB글로벌","1826","-38","-2.04","92511560130"
"003610","방림","5270","-80","-1.50","190785372660"
"003650","미창석유","121900","-1500","-1.22","212066016800"
"003680","한성기업","4935","0","0.00","30643956525"
"003780","진양산업","5460","-30","-0.55","70980000000"
"003830","대한화섬","118700","1600","1.37","157633600000"
"003920","남양유업","48400","-2000","-3.97","290400000000"
"003960","사조대림","30300","-50","-0.16","277683350100"
"004060","SG세계물산","3495","-160","-4.38","70747523520"
"004080","신흥","13820","20","0.14","129908000000"
"004090","한국석유","14100","-320","-2.22","178987092000"
"004100","태양금속","2730","-10","-0.36","100191000000"
"004140","동방","2375","-55","-2.26","113932944250"
"004150","한솔홀딩스","3600","-100","-2.70","147695832000"
"004250","NPC","3510","30","0.86","128887200000"
"004270","남성","7190","60","0.84","26036543040"
"004310","현대약품","7590","50","0.66","242880000000"
"004360","세방","14390","-260","-1.77","275073527170"
"004380","삼익THK","13410","320","2.44","277587000000"
"004410","서울식품","158","0","0.00","62338921488"
"004430","송원산업","12130","-260","-2.10","291120000000"
"004440","삼일씨엔에스","6140","-260","-4.06","78174154580"
"004450","삼화왕관","27150","100","0.37","58491389850"
"004540","깨끗한나라","1890","32","1.72","70384909770"
"004560","현대비앤지스틸","16280","-310","-1.87","245483043080"
"004720","팜젠사이언스","3670","-55","-1.48","80573022340"
"004770","써니전자","1760","80","4.76","62493090880"
"0030R0","대신밸류리츠","4195","-5","-0.12","250777100000"
"088260","이리츠코크렙","4150","-215","-4.93","262867598500"
"140910","에이리츠","3130","0","0.00","13969290160"
"145270","케이탑리츠","830","-15","-1.78","39890442420"
"204210","스타에스엠리츠","2035","0","0.00","15927568525"
"334890","이지스밸류플러스리츠","3990","-60","-1.48","277100245170"
"338100","NH프라임리츠","4515","5","0.11","84249900000"
"348950","제이알글로벌리츠","1182","0","0.00","233298432000"
"350520","이지스레지던스리츠","3520","-85","-2.36","129769031040"
"357250","미래에셋맵스리츠","2140","-50","-2.28","53489524700"
"357430","마스턴프리미어리츠","895","-104","-10.41","27302249765"
"377190","디앤디플랫폼리츠","2670","-75","-2.73","236028000000"
"396690","미래에셋글로벌리츠","1660","-56","-3.26","65745860400"
"400760","NH올원리츠","3105","-65","-2.05","170555398875"
"404990","신한서부티엔디리츠","3740","-160","-4.10","229009864160"
"432320","KB스타리츠","1589","-120","-7.02","239564448865"
"481850","신한글로벌액티브리츠","959","-41","-4.10","41695079776"
"000020","동화약품","6130","60","0.99","171219911100"
"000040","KR모터스","395","17","4.50","34118197680"
"000050","경방","10620","560","5.57","291150167400"
"000140","하이트진로홀딩스","8750","-110","-1.24","203059193750"
"000180","성창기업지주","6200","90","1.47","86491984000"
"000220","유유제약","3975","-5","-0.13","67703595225"
"000230","일동홀딩스","8150","-20","-0.24","94054260000"
"000300","DH오토넥스","4200","0","0.00","174035631000"
"000320","노루홀딩스","19710","-170","-0.86","261968586210"
"000390","SP삼화","7810","10","0.13","212459092890"
"000430","대원강업","4510","-165","-3.53","279620000000"
"000480","CR홀딩스","4825","-50","-1.03","226246614250"
"000490","대동","9550","-600","-5.91","275296560750"
"000520","삼일제약","8110","-240","-2.87","175920587210"
"000540","흥국화재","4115","110","2.75","264358484175"
"000590","CS홀딩스","77500","1500","1.97","89472355000"
"000700","유수홀딩스","5770","-130","-2.20","150261255240"
"000760","이화산업","15090","60","0.40","42252000000"
"000850","화천기공","35600","600","1.71","78320000000"
"000860","강남제비스코","15090","-260","-1.69","196170000000"
"000890","보해양조","422","0","0.00","58286694438"
"000910","유니온","3965","-150","-3.65","61900069335"
