종목코드,종목명,종가,대비,등락률,상장시가총액
"043610","KT지니뮤직","1649","-16","-0.96","95832357262"
"044990","에이치엔에스하이텍","14850","-780","-4.99","114128561250"
"045970","코아시아","4900","-130","-2.58","128942892400"
"047560","이스트소프트","12240","-20","-0.16","143857723680"
"021080","에이티넘인베스트","3130","0","0.00","150240000000"
"021320","KCC건설","6300","-190","-2.93","134820000000"
"023600","삼보판지","9380","-430","-4.38","150157854000"
"023900","풍국주정","9150","-250","-2.66","115290000000"
"024740","한일단조","2975","15","0.51","97868720775"
"024880","케이피에프","5350","-300","-5.31","107870733900"
"025950","동신건설","14380","-620","-4.13","120792000000"
"026150","특수건설","5460","-70","-1.27","95802967260"
"027710","팜스토리","1331","-24","-1.77","148295494600"
"029480","광무","2030","-10","-0.49","121229837960"
"030960","양지사","6120","-140","-2.24","97797600000"
"032300","한국파마","10420","220","2.16","113647824420"
"032580","피델릭스","4275","410","10.61","141639573600"
"032940","원익","8280","-500","-5.69","150639944400"
"033290","로젠","1893","-9","-0.47","106303877793"
"033340","좋은사람들","1285","-43","-3.24","124581467030"
"035080","그래디언트","10380","130","1.27","118656727920"
"035610","솔본","3520","-185","-4.99","96257909440"
"036010","아비코전자","9000","-30","-0.33","119636406000"
"036220","오상헬스케어","7990","-550","-6.44","114332233840"
"036630","세종텔레콤","10670","340","3.29","106700000000"
"000440","중앙에너비스","18390","-610","-3.21","114516920700"
"0007J0","인벤테라","16800","-260","-1.52","132143995200"
"001540","안국약품","10470","790","8.16","136554137400"
"0015N0","아로마티카","7520","-210","-2.72","95617176000"
"0015S0","페스카로","11920","-470","-3.79","117611421600"
"002230","피에스텍","8110","-140","-1.70","151700145200"
"003310","대주산업","2940","-10","-0.34","104053509000"
"004590","한국가구","7750","640","9.00","116250000000"
"005860","한일사료","3430","30","0.88","135154639550"
"005990","매일홀딩스","10410","-300","-2.80","138435344640"
"006140","피제이전자","6710","-560","-7.70","99744150000"
"006620","동구바이오제약","4630","-145","-3.04","131792912960"
"007820","엠엑스로보틱스","5050","-310","-5.78","101171427300"
"009300","삼아제약","16210","-130","-0.80","103257700000"
"009780","엠에스씨","7010","-600","-7.88","123376000000"
"010280","아이티센엔텍","7300","-180","-2.41","95080726100"
"011370","서한","933","-70","-6.98","94134909045"
"013310","아진산업","3600","-160","-4.26","139703695200"
"014970","삼륭물산","6440","70","1.10","95473000000"
"018120","진로발효","17480","-40","-0.23","115737177600"
"019540","일지테크","6810","-270","-3.81","92026935000"
"019550","SBI인베스트먼트","638","0","0.00","103398474850"
"036640","HRS","4985","-5","-0.10","81528678000"
"036670","삼양케이씨아이","5760","-90","-1.54","64915200000"
"001000","신라섬유","1454","-42","-2.81","35299543160"
"0010F0","보원케미칼","4055","-275","-6.35","45187302055"
"0010V0","제이피아이헬스케어","10000","-300","-2.91","51054000000"
"0013V0","삼진식품","6580","-120","-1.79","65264756480"
"001810","무림SP","1407","-93","-6.20","31147462500"
"001840","이화공영","2215","0","0.00","62588831935"
"002290","삼일기업공사","3750","-80","-2.09","46500000000"
"002800","신신제약","5370","10","0.19","81465585000"
"004650","창해에탄올","9740","-70","-0.71","89519219900"
"004780","대륙제관","3950","50","1.28","62817636050"
"005670","푸드웰","6780","-100","-1.45","67800000000"
"006050","국영지앤엠","1072","-23","-2.10","37407700496"
"006920","모헨즈","3935","-45","-1.13","42970200000"
"007370","진양제약","4625","-5","-0.11","65372464875"
"007530","와이엠","2120","-55","-2.53","47178969720"
"007680","대원","4055","5","0.12","54525452070"
"007720","소노스퀘어","364","-17","-4.46","36691363800"
"008370","원풍","5140","-10","-0.19","61680000000"
"008470","부스타","3625","-35","-0.96","30467400000"
"010240","흥국","5640","-40","-0.70","66021840000"
"010470","오리콤","5710","-60","-1.04","68377535500"
"011320","유니크","4180","-20","-0.48","80760505100"
"012620","원일특강","8040","-250","-3.02","35376000000"
"012700","리드코프","3365","-60","-1.75","88145676980"
"012790","신일제약","5770","-80","-1.37","69161614550"
"013720","THE CUBE&","559","-1","-0.18","34002931937"
"013810","스페코","2335","-45","-1.89","34220522450"
"014190","원익큐브","1565","7","0.45","55400852890"
"014470","부방","1289","-19","-1.45","77407363140"
"014570","고려제약","3725","-70","-1.84","40975000000"
"014950","삼익제약","7550","-150","-1.95","75557289400"
"015710","코콤","3450","-60","-1.71","60480225000"
"016250","SGC E&C","14480","-420","-2.82","72935557280"
"016600","큐캐피탈","293","0","0.00","52226403816"
"016670","디모아","3845","45","1.18","39196829730"
"017000","신원종합개발","2775","15","0.54","32378774925"
"017480","삼현철강","4880","55","1.14","76630103200"
"017650","대림제지","9510","-230","-2.36","83545350000"
"018680","서울제약","2640","-10","-0.38","30780602160"
"019570","플루토스","407","-22","-5.13","35836367094"
"019770","서연탑메탈","3910","5","0.13","45551500000"
"019990","에너토크","8230","260","3.26","80292604240"
"040610","SG&G","2175","0","0.00","74139651300"
"041460","한국전자인증","3755","-20","-0.53","71345000000"
"041910","폴라리스AI파마","6870","-230","-3.24","91256614500"
"042110","에스씨디","1477","-8","-0.54","71382766028"
"042940","상지건설","8600","-220","-2.49","58726923200"
"043200","파루","876","1","0.11","36620579940"
"043340","에쎈테크","549","0","0.00","52155000000"
"043650","국순당","3940","20","0.51","70361717760"
"043710","코스리거글로벌","4205","-120","-2.77","72799070910"
"043910","자연과환경","493","0","0.00","55901988301"
"044340","위닉스","4960","-35","-0.70","88652188000"
"044480","빌리언스","1306","-43","-3.19","43425696296"
"044960","이글벳","3690","-60","-1.60","46648548270"
"045060","오공","2310","5","0.22","39135959940"
"045300","성우테크론","3425","-75","-2.14","36123516100"
"045340","토탈소프트","6930","80","1.17","59307217200"
"045510","정원엔시스","1109","70","6.74","35720104828"
"045660","에이텍","9030","-30","-0.33","74587800000"
"046210","HLB파나진","1700","-65","-3.68","77397532000"
"046310","백금T&A","2670","-110","-3.96","43837771470"
"046390","삼화네트웍스","991","0","0.00","42784376603"
"046940","우원개발","4530","-430","-8.67","81876805500"
"047080","한빛소프트","1393","116","9.08","34577550266"
"020180","대신정보통신","1095","11","1.01","42079661925"
"020710","시공테크","4305","-75","-1.71","86306510850"
"021650","한국큐빅","2145","-15","-0.69","35071957635"
"021880","메이슨캐피탈","217","50","29.94","46044016536"
"022220","티케이지애강","767","-9","-1.16","39726442093"
"023440","제이스코홀딩스","521","0","0.00","46964378481"
"023790","동일스틸럭스","1249","0","0.00","32648381633"
"024120","KB오토시스","3725","20","0.54","42837500000"
"024830","세원물산","10310","-160","-1.53","86088500000"
"024910","경창산업","1988","-67","-3.26","71208181940"
"024950","삼천리자전거","4680","-5","-0.11","58032000000"
"025440","DH오토웨어","781","-17","-2.13","38098135944"
"025550","한국선재","3570","-110","-2.99","91084994280"
"025880","케이씨피드","2750","-30","-1.08","45968609500"
"026040","제이에스티나","2690","5","0.19","44395195100"
"027040","서울전자통신","480","0","0.00","33402646560"
"027050","코리아나","1758","-62","-3.41","70320000000"
"027580","상보","598","0","0.00","35390404842"
"027830","대성창투","1391","-8","-0.57","75114000000"
"031310","아이즈비전","1609","-34","-2.07","47862361459"
"031510","오스템","1088","53","5.12","30464000000"
"032540","TJ미디어","3565","-35","-0.97","74499277345"
"032790","엠젠솔루션","887","0","0.00","45556508044"
"032850","비트컴퓨터","4825","-55","-1.13","80207388725"
"032860","더라미","1018","1","0.10","41122988534"
"032960","동일기연","12340","-110","-0.88","43419462300"
"033050","제이엠아이","942","-31","-3.19","30689740164"
"033130","디지틀조선","1992","-58","-2.83","73933611864"
"033170","시그네틱스","767","-8","-1.03","65753620673"
"033200","모아텍","3785","-210","-5.26","34839142265"
"033230","인성정보","1682","-5","-0.30","84966869160"
"033310","엠투엔","1622","-3","-0.18","64835323632"
"033320","제이씨현시스템","4140","-110","-2.59","79133748480"
"033540","파라텍","866","-35","-3.88","45245322646"
"033560","블루콤","3300","-90","-2.65","56430000000"
"033830","티비씨","546","-8","-1.44","54600000000"
"035200","프럼파스트","3630","-60","-1.63","35322041700"
"035460","기산텔레콤","3465","-135","-3.75","51640073100"
"036000","예림당","3020","10","0.33","69563516540"
"036090","위지트","710","0","0.00","84058521640"
"036120","서울평가정보","1884","-49","-2.53","66213180000"
"048470","대동스틸","3255","5","0.15","31410750000"
"048910","대원미디어","6370","-240","-3.63","80127886020"
"049180","셀루메드","1009","0","0.00","83948814126"
"049470","비트플래닛","2070","-310","-13.03","48737940930"
"049480","오픈베이스","2685","-30","-1.10","84369098355"
"049550","잉크테크","3490","-60","-1.69","68425906730"
"049830","승일","7150","90","1.27","43844600800"
"050110","캠시스","1713","-64","-3.60","50062121799"
"050120","ES큐브","2850","150","5.56","38657645100"
"050860","아세아텍","1920","-65","-3.27","43200000000"
"050960","수산아이앤티","8710","-80","-0.91","58801210000"
"051380","피씨디렉트","2185","115","5.56","33518057320"
"051390","YW","4695","35","0.75","53313452760"
"051490","나라엠앤디","3605","-110","-2.96","51191000000"
"052220","iMBC","2650","-75","-2.75","60950000000"
"052460","아이크래프트","3180","-135","-4.07","46453236480"
"052600","한네트","3505","-55","-1.54","40530768500"
"052790","액토즈소프트","4985","-165","-3.20","54458866795"
"053050","지에스이","2285","-30","-1.30","68521659145"
"053160","프리엠스","8130","-80","-0.97","48780000000"
"053270","구영테크","2285","5","0.22","62632775425"
"053280","예스24","3165","-55","-1.71","79125000000"
"053350","이니텍","2775","-50","-1.77","61108455375"
"053450","세코닉스","4960","-140","-2.75","73372302880"
"053620","태양","7290","230","3.26","62694000000"
"053950","경남제약","2915","-25","-0.85","45559907965"
"053980","오상자이엘","2955","-45","-1.50","56094123765"
"054040","한국컴퓨터","5530","-30","-0.54","88874233700"
"054300","팬스타엔터프라이즈","1058","2","0.19","61227459810"
"054670","대한뉴팜","6340","-130","-2.01","91010192800"
"054780","키이스트","2050","-105","-4.87","40298475650"
"054930","유신","21950","-600","-2.66","65850000000"
"056360","코위버","8900","-600","-6.32","87191520000"
"056700","신화인터텍","1715","-15","-0.87","49966681065"
"056730","CNT85","2070","-500","-19.46","30682030590"
"057030","YBM넷","2560","-10","-0.39","41760504320"
"057540","옴니시스템","822","-19","-2.26","48822088296"
"057680","티사이언티픽","2350","-50","-2.08","33486795000"
"058110","멕아이씨에스","2565","-35","-1.35","41169609450"
"059100","아이컴포넌트","5640","220","4.06","39879650400"
"037230","한국팩키지","2080","-45","-2.12","61984680160"
"037330","인지디스플레","1390","-25","-1.77","61000461360"
"037370","EG","4680","-205","-4.20","40364868960"
"037440","희림","5440","-320","-5.56","75738264000"
"037760","쎄니트","2530","75","3.05","85597290130"
"037950","엘컴텍","3165","105","3.43","53455276995"
"038010","제일테크노스","6550","-20","-0.30","58950000000"
"038060","루멘스","1373","54","4.09","66045513737"
"038070","서린바이오","5860","-70","-1.18","54501961360"
"038460","바이오스마트","3575","-10","-0.28","90356487650"
"038620","위즈코프","2020","88","4.55","30594703860"
"038680","에스넷","4200","-15","-0.36","83633096400"
"038870","에코심플렉스","2640","-50","-1.86","36999465360"
"038880","아이에이","908","-34","-3.61","34115482236"
"038950","파인디지털","3280","-160","-4.65","33491309200"
"039010","현대에이치티","9990","-110","-1.09","86163750000"
"039020","이건홀딩스","3000","40","1.35","67754127000"
"039240","경남스틸","2585","-10","-0.39","69742276340"
"039290","인포뱅크","4180","-85","-1.99","36340828040"
"039420","케이엘넷","2950","-85","-2.80","67693632300"
"039610","화성밸브","8210","-350","-4.09","85469384000"
"039740","한국정보공학","4800","315","7.02","38488305600"
"040350","크레오에스지","3560","-75","-2.06","69493093920"
"040420","정상제이엘에스","5810","-40","-0.68","91086577120"
"084730","팅크웨어","7700","-100","-1.28","85542564800"
"086040","바이오톡스텍","3145","-55","-1.72","50188686815"
"086060","진바이오텍","4060","-5","-0.12","34958983220"
"087260","모바일어플라이언스","1379","-135","-8.92","44890395319"
"087600","픽셀플러스","5610","-40","-0.71","45814390380"
"088280","쏘닉스","4935","-185","-3.61","85407528150"
"088340","유라클","10680","-610","-5.40","46611450240"
"088910","동우팜투테이블","2440","-10","-0.41","63029504160"
"089140","넥스턴앤롤코리아","2240","195","9.54","34308364160"
"089150","케이씨티","2970","-75","-2.46","50935500000"
"089790","제이티","5900","-230","-3.75","60861526700"
"089850","유비벨록스","4870","-95","-1.91","71736069130"
"090410","덕신이피씨","1169","-14","-1.18","53872307055"
"091590","남화토건","3810","5","0.13","44729400000"
"092300","현우산업","4420","145","3.39","84200717120"
"094850","참좋은여행","5040","-40","-0.79","70560000000"
"094860","네오리진","1458","-4","-0.27","36610400412"
"094970","제이엠티","3665","-75","-2.01","61382299600"
"095270","웨이브일렉트로","6100","-300","-4.69","87671676600"
"095910","에스에너지","2180","90","4.31","81307261620"
"060310","3S","1462","-82","-5.31","77572316480"
"060540","에스에이티","1457","44","3.11","38076226842"
"060560","HC홈센타","3065","35","1.16","77814223065"
"060570","드림어스컴퍼니","893","33","3.84","66172704689"
"060850","영림원소프트랩","6390","350","5.79","51957090000"
"061040","알에프텍","1937","0","0.00","87632039755"
"061250","화일약품","8180","-190","-2.27","68855837120"
"063440","SM Life Design","1306","-8","-0.61","59187089384"
"063760","이엘피","3700","0","0.00","34502981000"
"064090","인크레더블버즈","798","0","0.00","39694710510"
"064240","홈캐스트","1928","-50","-2.53","66890515928"
"064480","브리지텍","3770","-140","-3.58","45060925000"
"064520","테크엘","1753","-54","-2.99","39181411686"
"065130","탑엔지니어링","3925","275","7.53","62815700000"
"065170","비엘팜텍","2030","-50","-2.40","56664999790"
"065370","위세아이텍","4490","-140","-3.02","33153953460"
"065500","오리엔트정공","1816","-59","-3.15","60369128192"
"065510","휴비츠","7310","-50","-0.68","83961658530"
"065530","와이어블","1839","-44","-2.34","87975477801"
"065650","하이퍼코퍼레이션","2110","0","0.00","46192067250"
"065770","CS","1584","0","0.00","30747229920"
"065950","웰크론","1309","-19","-1.43","36954774318"
"066130","하츠","3990","0","0.00","51072000000"
"066360","체리부로","938","-37","-3.79","44978990070"
"066670","디티씨","2815","-205","-6.79","52617749170"
"066900","디에이피","1829","7","0.38","41599695987"
"066910","손오공","680","0","0.00","45514551520"
"066980","한성크린텍","1382","-86","-5.86","71774342750"
"067170","오텍","3270","-500","-13.26","79473465240"
